Year,Gold Time,Silver Time,Bronze Time
2023,06:01.3,06:03.7,06:04.2
2022,06:01.1,06:05.0,06:07.5
2021,05:59.1,06:00.0,06:01.2
2020,,,
2019,05:56.9,05:56.9,06:01.9
2018,06:01.9,06:03.1,06:03.1
2017,06:06.4,06:07.1,06:07.3
2016,06:01.5,06:04.0,06:04.1
2015,06:05.6,06:05.6,06:09.0
2014,05:56.8,05:59.7,06:00.5
2013,06:02.1,06:07.0,06:09.3
2012,06:10.6,06:10.6,06:13.1
2011,06:03.7,06:04.4,06:06.0
2010,06:12.4,06:16.1,06:19.0
2009,06:05.3,06:05.3,06:07.4
2008,06:05.3,06:07.2,06:07.2
2007,06:17.2,06:18.3,06:19.7
2006,05:55.5,05:57.3,06:00.3
2005,05:58.1,05:59.5,05:59.5
2004,06:17.7,06:19.6,06:19.9
2003,06:41.2,06:44.6,06:45.5
2002,06:04.3,06:05.1,06:05.2
2001,06:03.7,06:05.0,06:05.3
2000,06:06.4,06:09.4,06:11.6
1999,06:47.7,06:47.7,06:53.2
1998,06:14.6,06:15.8,06:15.8
1997,06:02.4,06:07.2,06:10.0
1996,06:19.7,06:24.0,06:24.4
1995,06:50.7,06:52.8,06:54.3
1994,06:07.4,06:08.2,06:08.6
